baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65141.35919205086	2.9557058242052068	0.15283604640555015	19.339062307083285	2.520160885987504e-83	5.771168428911384e-81	ENSG00000160191
19983.591606007438	3.2924169519430175	0.17969407261389594	18.322345885149755	5.4894767448195e-75	6.285450872818327e-73	ENSG00000154734
9241.346169034674	2.7440427723296255	0.18698743001104204	14.675011962930254	9.319912140476909e-49	7.11419960056404e-47	ENSG00000183145
5645.005415275034	2.946660064156995	0.21035837156599338	14.007809825779015	1.3964546974824932e-44	7.994703143087274e-43	ENSG00000142168
11087.27427574448	3.1483231772106017	0.2257289939636886	13.947358387275008	3.2647508217623995e-44	1.4952558763671788e-42	ENSG00000276289
9475.668466979185	3.2379803226784136	0.24798326068596513	13.05725359736618	5.777470432999609e-39	2.205067881928184e-37	ENSG00000154723
25618.079477122254	2.5717365051339587	0.22855169787333812	11.252318530397435	2.2558305070133058e-29	7.37978837294353e-28	ENSG00000180509
33672.10768301983	3.018864125258557	0.2755154494124551	10.957150067977585	6.140263811181815e-28	1.7576505159507944e-26	ENSG00000156299
2370.1759401720865	1.6222857759192302	0.32480674161010287	4.99461854725484	5.895217077122379e-7	1.5000052340678053e-5	ENSG00000275993
9045.943302717535	2.5792340123344193	0.5681456812776547	4.539740593529107	5.63234789955953e-6	1.2898076689991323e-4	ENSG00000142178
291.0700077018034	-1.295052575464	0.3211963331391	-4.03196562926873	5.531227794724462e-5	0.001151501059083547	ENSG00000222018
438.5350751101177	-1.213384774366228	0.3147152273081929	-3.855500684680853	1.1549300738691786e-4	0.0022039915576336825	ENSG00000215455
15273.181372989558	2.2002066231829502	0.6985397680617157	3.149722784270405	0.0016342545270189373	0.02878802205287205	ENSG00000141959
1445.2655016498204	-0.6310642900085676	0.2089681251348434	-3.019906933659634	0.0025285236818475255	0.04135942308164881	ENSG00000166351
659.9113986418298	1.002348432375201	0.3471986265132451	2.88695967043799	0.0038898408641319373	0.05938490385908091	ENSG00000156284
3338.8102432788774	0.45698716934080014	0.17758167979161735	2.5733914099531567	0.010070724387842284	0.1441372428009927	ENSG00000157557
7386.407732980811	0.4024311273581811	0.1670524604499951	2.4090104765541205	0.015995838794510237	0.21547335787899086	ENSG00000160183
492.9404518959058	0.5585880863786261	0.25286605751278624	2.2090275455430826	0.02717272502203565	0.34569744611367575	ENSG00000276612
6913.027221797819	-0.5780328797972182	0.2667862069638059	-2.166652040881702	0.030261396062289222	0.3569095425077269	ENSG00000171587
4443.203193439198	0.37445130368697493	0.17450875934087676	2.145745033666421	0.031893326148588655	0.3569095425077269	ENSG00000154721
1388.2328203618138	-0.5221617470996108	0.24452832158696616	-2.1353835159495205	0.03272969603782648	0.3569095425077269	ENSG00000205929
8144.8390981042585	-0.3965112215217929	0.1896609550473968	-2.090631787774683	0.03656108395198299	0.3805676465910956	ENSG00000205581
1277.4513524049696	-0.534329626224065	0.2645198268284887	-2.019998397210949	0.043383553788308396	0.43194929641402713	ENSG00000160284
8129.747791432541	0.38481426894094567	0.19475979254677087	1.9758404129976361	0.04817285469347637	0.4596493218669203	ENSG00000157542
434.87897942357665	0.7368811756033838	0.3943666333757664	1.8685180571583944	0.06168989559441383	0.5650794436448308	ENSG00000221859
3054.356506080144	-0.3777368292956018	0.21116058382620617	-1.7888605082021118	0.07363728325508286	0.6485745332851529	ENSG00000142149
26598.40298318125	-0.3070605255636686	0.17820578597323455	-1.7230670928371947	0.08487639283020113	0.7198775540042984	ENSG00000182670
8366.467350246725	-0.36380728288996156	0.213880766267815	-1.7009817630558381	0.08894641174684426	0.7247642810672343	ENSG00000160285
2285.0659152305197	-0.5251261927010903	0.31144987318353323	-1.6860696950473326	0.09178237620502094	0.7247642810672343	ENSG00000249624
151.7508255058036	0.7933009439007399	0.4867812375097556	1.6296867725614452	0.1031677143948362	0.7650658509407076	ENSG00000244025
4061.925929012123	-0.27059095504905795	0.17184164552001877	-1.57465295580829	0.11533657224833813	0.7650658509407076	ENSG00000160226
5358.581608035605	-0.4231935111231577	0.26973849465251826	-1.5689029171321016	0.11667056206452002	0.7650658509407076	ENSG00000184012
294.40831142921	-0.5453102734196695	0.35120135944791	-1.5526997796275606	0.12049487500954133	0.7650658509407076	ENSG00000159197
5682.348430031101	-0.2696353533634893	0.17622279012465858	-1.530082194095051	0.12599638506622626	0.7650658509407076	ENSG00000166979
4384.6120902807925	-0.39210634682287554	0.25775693138810307	-1.5212252284012622	0.12820332651448033	0.7650658509407076	ENSG00000156239
8754.18005085169	-0.2580993815174335	0.17133122558649228	-1.5064351558445983	0.1319555015349397	0.7650658509407076	ENSG00000173276
1101.9174091320785	-0.434381047335663	0.28915606226698143	-1.5022373867250742	0.13303581256265054	0.7650658509407076	ENSG00000285815
7780.327495286157	0.2729904195621016	0.18315940122679397	1.490452675285152	0.13610525105089344	0.7650658509407076	ENSG00000160201
803.4242158726015	0.34338349898197296	0.230571700586113	1.4892699238852491	0.13641630428570473	0.7650658509407076	ENSG00000183036
461.92640478491944	-0.44463641915677987	0.29902782638904385	-1.4869399431018002	0.1370306735005922	0.7650658509407076	ENSG00000188694
8136.605534108106	-0.23808118752688814	0.16099530020849218	-1.4788083081839543	0.13919155472880806	0.7650658509407076	ENSG00000186866
3709.6149590631317	0.27317002198998436	0.18524914986050034	1.4746087752396801	0.14031775432100313	0.7650658509407076	ENSG00000142188
3351.3232652595416	-0.2939833409966951	0.20296805571787757	-1.4484217230977832	0.1474991431133582	0.7658439691941729	ENSG00000243646
