gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76936.26621398992	3.0723569047837933	0.15523175357320043	19.79206466501073	3.4847004540503275e-87	7.97996403977525e-85
ENSG00000154734	22865.744189898556	3.4424503727689637	0.17936576481259414	19.192349088276252	4.288110281306767e-82	4.909886272096248e-80
ENSG00000154723	7343.989258932721	2.5827077268515817	0.1638898703015936	15.758800236395503	5.975665473902367e-56	4.5614246450788064e-54
ENSG00000180509	30230.55629577146	2.9441516461780415	0.20003974051997556	14.717833759057713	4.952728301560033e-49	2.835436952643119e-47
ENSG00000183145	9994.630369329103	2.891432818992121	0.24885591361341272	11.618903392763416	3.303491950803222e-31	1.5129993134678756e-29
ENSG00000276289	11797.438428340041	2.860452983017276	0.4650132891220558	6.151335993897735	7.683295203619279e-10	2.932457669381358e-8
ENSG00000277277	724.5012144040359	0.9286162270286398	0.26395732419264895	3.5180544046994897	4.34723227220501e-4	0.01422165986192782
ENSG00000185437	2257.348714227518	0.5184348852304214	0.19131150144907752	2.7098992026280038	0.006730365833223134	0.19265672197601222
ENSG00000160188	1876.157799119332	-0.5370718876933529	0.21920249668729605	-2.4501175662224064	0.014280957736613606	0.34730055839708956
ENSG00000154719	1373.4106650519736	-0.5882211263086705	0.24222664772119681	-2.428391474854219	0.015165963248781205	0.34730055839708956
ENSG00000157557	3474.168268156511	-0.49040570504739867	0.2101747176751895	-2.3333239624248563	0.019631148708509148	0.38158243465514596
ENSG00000160207	885.4178720918856	0.6335656764665244	0.27443203323817983	2.30864330592432	0.020963382757469763	0.38158243465514596
ENSG00000177692	2181.322933746525	0.459866693246816	0.20026901373426323	2.296244859212283	0.02166188493675501	0.38158243465514596
ENSG00000205929	1354.5989450729967	0.47336753713331076	0.23703397412868837	1.9970451023882099	0.04582028368164933	0.7068749999439738
ENSG00000186930	103.41584312483077	-1.1258090838724866	0.5649862022699815	-1.9926311109001438	0.04630185589152667	0.7068749999439738
ENSG00000184012	5521.757290328629	-0.3924887689637998	0.20825111273051014	-1.8846899006571198	0.05947171667478859	0.8055157101918414
ENSG00000183036	968.6185377684639	-0.5296664729331679	0.2813963290546222	-1.8822792561389587	0.05979810949022404	0.8055157101918414
ENSG00000141959	16895.75567394889	2.066855806030728	1.1136904838326394	1.8558619616806622	0.06347323603296945	0.8075206139750002
ENSG00000166265	1222.56170826847	0.5314627786255566	0.30134952910257995	1.763609122629973	0.07779781074799005	0.866154645179656
ENSG00000187175	207.71831909503206	0.7791439409146769	0.4425198318522693	1.7606983570733754	0.07828947097997542	0.866154645179656
ENSG00000159128	2810.1138333510994	0.34676338159102393	0.19769764861817546	1.7540086289076076	0.07942902859726103	0.866154645179656
ENSG00000244624	102.07385465249531	0.9882887600449679	0.575415786853447	1.7175211084305475	0.08588400102424919	0.8939743742978665
ENSG00000274391	3083.2223991804744	0.2884642890518634	0.1728391610940787	1.668975290240204	0.0951222769308586	0.895892311332943
ENSG00000154721	3847.5989855798343	-0.3236998254049913	0.19663336536642242	-1.6462100661389945	0.09972051753602025	0.895892311332943
ENSG00000197683	369.27076193338456	-0.6840716545938941	0.4219202715407416	-1.6213291959067166	0.10494705675385135	0.895892311332943
ENSG00000184221	1250.3556707926455	-0.46012805945583274	0.2849758397331723	-1.6146212952180732	0.106392730931722	0.895892311332943
ENSG00000154727	3764.9043621264454	0.27449965285009004	0.17010945992207943	1.6136648307262142	0.10660014631392371	0.895892311332943
ENSG00000142173	5506.518270475791	-0.31242850120626126	0.19567526702728025	-1.5966683268289792	0.1103396594315989	0.895892311332943
ENSG00000212938	216.08762696742122	-0.7131414277076673	0.4505400920364927	-1.5828589737356926	0.11345361147884432	0.895892311332943
ENSG00000156239	3663.6983366625764	-0.36517268676420295	0.23837666693192797	-1.5319145596933927	0.12554352013856662	0.9577368309543283
ENSG00000160182	178.7241006476053	-0.6949288719931155	0.475279256067138	-1.4621485434553654	0.1437005087525904	0.9577368309543283
ENSG00000186925	146.39773802070934	0.678508802750206	0.472638086343824	1.435577923901418	0.15112248025240507	0.9577368309543283
ENSG00000154654	5151.888870666866	0.32711625383781445	0.22901507055389647	1.428361256080878	0.15318790480418595	0.9577368309543283
ENSG00000166351	1223.7722700701686	0.347981722462314	0.24985708613351823	1.3927230475919345	0.16370355630559907	0.9577368309543283
ENSG00000159200	9649.718584379327	-0.23393742022884867	0.1761648875573172	-1.3279457868852242	0.18419601720629844	0.9577368309543283
ENSG00000182591	328.5138442673522	-0.5005798706722605	0.37716963745865867	-1.3272008692033932	0.18444224495427064	0.9577368309543283
ENSG00000159263	4523.472384656007	-0.25347657693765135	0.19154169709513902	-1.3233493321913568	0.1857192331855914	0.9577368309543283
ENSG00000154640	1588.980912421778	-0.24421924275620394	0.18798539010928628	-1.2991394842664412	0.19389606490086433	0.9577368309543283
ENSG00000160181	720.3131516954238	0.33896772810552517	0.2627535508220824	1.2900595521734717	0.19702998211144795	0.9577368309543283
ENSG00000232263	142.4436852046472	-0.6705977316974325	0.5256616823531914	-1.2757211609859338	0.2020541054775066	0.9577368309543283
ENSG00000206104	85.52160643875304	0.7916181766650348	0.6244207765532713	1.2677639924710278	0.20488224450420814	0.9577368309543283
ENSG00000183527	1893.4608555824304	0.24109809122299689	0.19106870168571105	1.2618397942514896	0.20700643962915058	0.9577368309543283
ENSG00000157617	9315.444716447497	-0.24774389962334825	0.19773195007087013	-1.2529280145902222	0.21023190547297768	0.9577368309543283
